São Cristovão,-22.9,-43.2222
São Francisco Xavier,-22.9033333,-43.2433333
Tanque,-22.9161111,-43.3558333
Taquara,-22.9222222,-43.3880556
Tauá,-22.7975,-43.18555560000001
Tijuca,-22.9306453,-43.2400595
Todos os Santos,-22.8952778,-43.285
Tomás Coelho,-22.8688697,-43.3065255
Turiaçu,-22.8613889,-43.3438889
Urca,-22.9547694,-43.16655830000001
Vargem Grande,-22.9761111,-43.4941667
Vargem Pequena,-22.9805556,-43.4636111
Vasco da Gama,-22.8909961,-43.2267557
Vicente de Carvalho,-22.8569444,-43.3172222
Vidigal,-22.993663,-43.242486
Vigário Geral,-22.8075,-43.3102778
Vila Cosmos,-22.8536111,-43.3036111
Vila Isabel,-22.9166667,-43.25
Vila Militar,-22.865,-43.4027778
Vila Valqueire,-22.8833333,-43.3666667
Vila da Penha,-22.8441891,-43.3125635
Vista Alegre,-22.8308333,-43.31611110000001
Váz Lobo,-22.8583656,-43.3270517
Zumbi,-22.8211111,-43.1755556
Água Santa,-22.9122222,-43.3102778
